adj.P.Val,logFC,Gene.symbol,Gene.title
0.00198,1.3679141,PHLDA1,pleckstrin homology like domain family A member 1
0.00198,0.47586585,UBR4,ubiquitin protein ligase E3 component n-recognin 4
0.00198,0.41648815,FARSA,phenylalanyl-tRNA synthetase alpha subunit
0.00198,-1.37435275,SLC17A4,solute carrier family 17 member 4
0.00199,1.63612306,IVL,involucrin
0.00199,1.0427574,VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor"
0.00199,0.56732406,GDI2,GDP dissociation inhibitor 2
0.00199,0.46456421,TAF10,TATA-box binding protein associated factor 10
0.00199,-0.43652893,EEF2,eukaryotic translation elongation factor 2
0.00199,-0.50792502,NFRKB,nuclear factor related to kappaB binding protein
0.00199,-0.62355463,PRKRA,protein activator of interferon induced protein kinase EIF2AK2
0.00199,-1.03322457,COL14A1,collagen type XIV alpha 1 chain
0.00199,-1.14969997,,
0.002,1.48537923,CSPG4,chondroitin sulfate proteoglycan 4
0.002,-0.626752,IGSF9B,immunoglobulin superfamily member 9B
0.00201,0.99516917,CCL5,C-C motif chemokine ligand 5
0.00201,0.81203644,PLK4,polo like kinase 4
0.00201,-0.4239166,RPL13,ribosomal protein L13
0.00201,-0.66685089,GPR15,G protein-coupled receptor 15
0.00201,-0.80446254,ZFP37,ZFP37 zinc finger protein
0.00201,-0.83837485,TMEM246,transmembrane protein 246
0.00202,-0.69860445,PTPN3,"protein tyrosine phosphatase, non-receptor type 3"
0.00202,-0.780929,CACNA1C,calcium voltage-gated channel subunit alpha1 C
0.00202,-1.3345416,MYF5,myogenic factor 5
0.00203,1.4426898,GZMA,granzyme A
0.00203,1.02902087,LIN37,lin-37 DREAM MuvB core complex component
0.00203,0.77994913,CRK,"CRK proto-oncogene, adaptor protein"
0.00203,-0.73398899,NENF,neudesin neurotrophic factor
0.00203,-0.95074147,KCNC1,potassium voltage-gated channel subfamily C member 1
0.00203,-0.95211044,NR2C1,nuclear receptor subfamily 2 group C member 1
0.00203,-1.13040922,PLAGL1,PLAG1 like zinc finger 1
0.00203,-1.28707808,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
0.00203,-1.38321716,,
0.00204,0.51296296,DLG5,discs large MAGUK scaffold protein 5
0.00204,-0.51947147,ALG11///UTP14C,"ALG11, alpha-1,2-mannosyltransferase///UTP14, small subunit processome component homolog C (S. cerevisiae)"
0.00204,-0.76362109,IRGC,immunity related GTPase cinema
0.00204,-0.97403794,,
0.00205,1.0488546,ACKR3,atypical chemokine receptor 3
0.00205,-0.55023779,POM121L1P,"POM121 transmembrane nucleoporin like 1, pseudogene"
0.00205,-0.6852639,GBX1,gastrulation brain homeobox 1
0.00205,-1.08157575,FBLN2,fibulin 2
0.00206,0.69428966,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2
0.00206,-0.54518164,ADD2,adducin 2
0.00206,-0.65357718,CYP17A1,cytochrome P450 family 17 subfamily A member 1
0.00206,-1.053886,ALOX12,"arachidonate 12-lipoxygenase, 12S type"
0.00206,-1.18985945,LDB2,LIM domain binding 2
0.00206,-1.2789915,OLFM1,olfactomedin 1
0.00206,-2.42590069,PRR4,proline rich 4 (lacrimal)
0.00207,-0.48980937,SMG6,"SMG6, nonsense mediated mRNA decay factor"
0.00207,-0.78546314,AIF1,allograft inflammatory factor 1
0.00208,0.98741781,RECQL,RecQ like helicase
0.00208,0.84501275,TRAF3,TNF receptor associated factor 3
0.00208,-0.51780718,GORASP1,golgi reassembly stacking protein 1
0.00208,-0.52745041,FDFT1,farnesyl-diphosphate farnesyltransferase 1
0.00208,-0.79829587,KCNS1,potassium voltage-gated channel modifier subfamily S member 1
0.00209,-0.6404726,,
0.00209,-0.88108168,NDRG2,NDRG family member 2
0.0021,0.5242256,HSBP1,heat shock factor binding protein 1
0.0021,-0.5305265,COMMD3-BMI1///BMI1,"COMMD3-BMI1 readthrough///BMI1 proto-oncogene, polycomb ring finger"
0.0021,-0.81906489,HOXD13,homeobox D13
0.0021,-0.97950326,CDKL5,cyclin dependent kinase like 5
0.0021,-1.12151519,PLEKHB1,pleckstrin homology domain containing B1
0.0021,-1.2176278,CADM1,cell adhesion molecule 1
0.0021,-1.27004232,ADAM3A,ADAM metallopeptidase domain 3A (pseudogene)
0.00211,0.87560662,CYBA,cytochrome b-245 alpha chain
0.00212,0.91595586,CDK1,cyclin dependent kinase 1
0.00212,-0.58168808,C6orf106,chromosome 6 open reading frame 106
0.00212,-0.59824977,TBX19,T-box 19
0.00212,-0.63680782,PPIL6,peptidylprolyl isomerase like 6
0.00213,-0.65872711,CALCA,calcitonin related polypeptide alpha
0.00213,-0.77771813,,
0.00213,-1.26071209,,
0.00214,0.57881376,NFKBIA,NFKB inhibitor alpha
0.00214,-0.62236504,CREB3L1,cAMP responsive element binding protein 3 like 1
0.00214,-2.03527401,AGR2,"anterior gradient 2, protein disulphide isomerase family member"
0.00215,0.88597477,LHFPL2,lipoma HMGIC fusion partner-like 2
0.00215,0.62641319,BAX,"BCL2 associated X, apoptosis regulator"
0.00215,-1.37576733,MBL2,mannose binding lectin 2
0.00216,1.57896254,GZMB,granzyme B
0.00216,0.64082773,PDLIM5,PDZ and LIM domain 5
0.00216,-0.97691692,BEST1,bestrophin 1
0.00217,0.54393207,CHSY1,chondroitin sulfate synthase 1
0.00217,-0.66809936,FOXG1,forkhead box G1
0.00217,-0.79907147,SPATA31A5///SPATA31A3///SPATA31A1///SPATA31C2///SPATA31C1///SPATA31A6///SPATA31A7,SPATA31 subfamily A member 5///SPATA31 subfamily A member 3///SPATA31 subfamily A member 1///SPATA31 subfamily C member 2///SPATA31 subfamily C member 1///SPATA31 subfamily A member 6///SPATA31 subfamily A member 7
0.00217,-0.97014474,RELN,reelin
0.00217,-1.13152582,LEFTY1,left-right determination factor 1
0.00217,-1.39013928,FXR1,FMR1 autosomal homolog 1
0.00218,-0.7536985,,
0.00218,-0.86251596,CPE,carboxypeptidase E
0.00219,-3.1370421,PIP,prolactin induced protein
0.0022,1.03433663,EPHB3,EPH receptor B3
0.0022,-0.73525313,COX5B,cytochrome c oxidase subunit 5B
0.0022,-0.80988464,ZNF799///ZNF443,zinc finger protein 799///zinc finger protein 443
0.00221,-0.52678844,GRAP2,GRB2-related adaptor protein 2
0.00221,-0.8180661,TBC1D8,TBC1 domain family member 8
0.00222,0.64598237,CANX,calnexin
0.00223,0.97605998,TUSC3,tumor suppressor candidate 3
0.00223,-0.89144681,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2
0.00223,-1.26571849,CAMK2G,calcium/calmodulin dependent protein kinase II gamma
0.00224,0.58260661,PSMB5,proteasome subunit beta 5
0.00224,-0.90735795,AHSA2,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
0.00225,0.61283468,PRKCI,protein kinase C iota
0.00225,-0.47523717,ATP11A,ATPase phospholipid transporting 11A
0.00225,-1.00717556,UHRF2,ubiquitin like with PHD and ring finger domains 2
0.00225,-1.03043434,LOC101930075///PKD1,"polycystin-1-like///polycystin 1, transient receptor potential channel interacting"
0.00226,0.81853473,MIR1204///PVT1,microRNA 1204///Pvt1 oncogene (non-protein coding)
0.00226,-0.53629125,IGHMBP2,immunoglobulin mu binding protein 2
0.00226,-0.60114477,PI15,peptidase inhibitor 15
0.00226,-0.84219421,PIN1P1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1"
0.00227,0.48135465,MYCBP,MYC binding protein
0.00227,-0.37258629,EFCAB14,EF-hand calcium binding domain 14
0.00227,-0.65886465,MAD2L1,MAD2 mitotic arrest deficient-like 1 (yeast)
0.00227,-0.81091806,GUCA1A,guanylate cyclase activator 1A
0.00227,-1.00672019,PYGO1,pygopus family PHD finger 1
0.00227,-1.33116227,INE2,inactivation escape 2 (non-protein coding)
0.00228,-0.95088933,,
0.00229,-0.6763301,MON2,"MON2 homolog, regulator of endosome-to-Golgi trafficking"
0.0023,-0.67390364,LRRC37A2///LRRC37A3///LRRC37A4P///LRRC37A,"leucine rich repeat containing 37 member A2///leucine rich repeat containing 37 member A3///leucine rich repeat containing 37 member A4, pseudogene///leucine rich repeat containing 37A"
0.00231,0.61104949,SERPINH1,serpin family H member 1
0.00231,0.46656308,UBE2D3,ubiquitin conjugating enzyme E2 D3
0.00231,-1.53248426,CFHR2,complement factor H related 2
0.00232,-0.84242707,IFI6,interferon alpha inducible protein 6
0.00232,-0.90571884,FES,"FES proto-oncogene, tyrosine kinase"
0.00232,-0.91886298,CDH5,cadherin 5
0.00233,-0.41978132,TUBGCP4,tubulin gamma complex associated protein 4
0.00234,1.2159392,RRAS,related RAS viral (r-ras) oncogene homolog
0.00234,0.78623349,KPNA6,karyopherin subunit alpha 6
0.00234,0.68866149,MAP3K5,mitogen-activated protein kinase kinase kinase 5
0.00234,0.43449673,TFDP1,transcription factor Dp-1
0.00234,-0.38947932,POGZ,pogo transposable element with ZNF domain
0.00234,-0.57471241,DEAF1,"DEAF1, transcription factor"
0.00234,-0.61641553,UPK2,uroplakin 2
0.00234,-0.74660323,GLI2,GLI family zinc finger 2
0.00234,-0.80436807,,
0.00234,-0.87493864,TAGLN,transgelin
0.00234,-0.9087586,CABP1,calcium binding protein 1
0.00234,-0.9170482,HHLA1,HERV-H LTR-associating 1
0.00235,2.18733471,S100A9,S100 calcium binding protein A9
0.00235,0.54889871,EED,embryonic ectoderm development
0.00235,0.48987924,PALLD,"palladin, cytoskeletal associated protein"
0.00235,0.47699642,IST1,"IST1, ESCRT-III associated factor"
0.00235,-0.50365057,ACHE,acetylcholinesterase (Cartwright blood group)
0.00235,-0.58664201,GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
0.00235,-0.62525242,TUBB2B,tubulin beta 2B class IIb
0.00235,-0.74278305,TTLL5,tubulin tyrosine ligase like 5
0.00235,-0.93622132,PAX8,paired box 8
0.00235,-1.04805407,SYP,synaptophysin
0.00235,-1.26506114,SMR3B,submaxillary gland androgen regulated protein 3B
0.00235,-1.26917449,LIPF,"lipase F, gastric type"
0.00235,-1.31421046,NPY6R,neuropeptide Y receptor Y6 (pseudogene)
0.00236,1.09747017,TNFRSF25,TNF receptor superfamily member 25
0.00236,0.58636679,YES1,"YES proto-oncogene 1, Src family tyrosine kinase"
0.00236,0.54366994,EHBP1,EH domain binding protein 1
0.00236,-0.48742926,IDH3A,isocitrate dehydrogenase 3 (NAD(+)) alpha
0.00236,-0.56823131,SLC8A1,solute carrier family 8 member A1
0.00236,-0.60695639,HADHA,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit"
0.00236,-0.61730031,PHF21A,PHD finger protein 21A
0.00236,-0.77352171,UBB,ubiquitin B
0.00236,-0.84171397,ICAM2,intercellular adhesion molecule 2
0.00237,-0.49651689,ARVCF,armadillo repeat gene deleted in velocardiofacial syndrome
0.00237,-0.55446023,PHB,prohibitin
0.00237,-0.80427787,,
0.00237,-1.54400907,NTS,neurotensin
0.00238,-0.79401164,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
0.00238,-0.98007189,LOC102724788///PRODH,"proline dehydrogenase 1, mitochondrial///proline dehydrogenase 1"
0.00239,0.90150295,ARFIP2,ADP ribosylation factor interacting protein 2
0.00239,0.53723774,ATP6V1G1,ATPase H+ transporting V1 subunit G1
0.00239,-0.64820271,MAPK4,mitogen-activated protein kinase 4
0.00239,-1.17040895,PDE6B,phosphodiesterase 6B
0.0024,-1.15292811,PRB4,proline rich protein BstNI subfamily 4
0.00241,0.56413234,PIGA,phosphatidylinositol glycan anchor biosynthesis class A
0.00241,-0.85181544,TNIK,TRAF2 and NCK interacting kinase
0.00241,-1.29637851,PLG,plasminogen
0.00242,-0.42899763,SOX1,SRY-box 1
0.00242,-0.8373115,GPR18,G protein-coupled receptor 18
0.00242,-0.85370618,RASA4B///RASA4CP///RASA4,"RAS p21 protein activator 4B///RAS p21 protein activator 4C, pseudogene///RAS p21 protein activator 4"
0.00242,-1.02588074,KITLG,KIT ligand
0.00242,-1.19149699,PRB4,proline rich protein BstNI subfamily 4
0.00243,-1.05898103,ZNF536,zinc finger protein 536
0.00244,1.1005268,CORO2A,coronin 2A
0.00244,0.40952584,HDAC3,histone deacetylase 3
0.00244,-0.46628411,UCN,urocortin
0.00244,-0.60339835,PRKACA,protein kinase cAMP-activated catalytic subunit alpha
0.00244,-1.03245732,FDX1,ferredoxin 1
0.00244,-1.27957783,NOV,nephroblastoma overexpressed
0.00244,-1.28272611,FYN,"FYN proto-oncogene, Src family tyrosine kinase"
0.00245,1.0909833,HMGA2,high mobility group AT-hook 2
0.00245,0.85494226,TLR2,toll like receptor 2
0.00245,-0.42925018,SSTR5,somatostatin receptor 5
0.00245,-0.45853058,ELAVL3,ELAV like neuron-specific RNA binding protein 3
0.00245,-1.07460496,,
0.00246,0.46255937,RBM3,"RNA binding motif (RNP1, RRM) protein 3"
0.00246,-0.65944916,PRM1,protamine 1
0.00246,-0.75127035,KCNH1,potassium voltage-gated channel subfamily H member 1
0.00246,-0.90707479,DST,dystonin
0.00247,-0.81766119,BCL2,"BCL2, apoptosis regulator"
0.00247,-0.87079433,,
0.00248,-0.56738483,CEL,carboxyl ester lipase
0.00248,-0.76977751,APOM,apolipoprotein M
0.0025,0.61557083,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2
0.0025,0.48948154,FAM120A,family with sequence similarity 120A
0.00251,-0.50599988,CADM4,cell adhesion molecule 4
0.00251,-1.14410434,DPP6,dipeptidyl peptidase like 6
0.00252,0.63988707,TLK1,tousled like kinase 1
0.00252,-0.38688949,RPL15,ribosomal protein L15
0.00252,-0.66168465,NFAT5,nuclear factor of activated T-cells 5
0.00252,-1.05169376,MYB,"MYB proto-oncogene, transcription factor"
0.00253,0.81052813,WNT5A,Wnt family member 5A
0.00253,-0.77962697,ADAM11,ADAM metallopeptidase domain 11
0.00254,-0.47453526,MXRA7,matrix remodeling associated 7
0.00254,-0.81275809,SPTB,"spectrin beta, erythrocytic"
0.00255,-1.03356064,RASL10A,RAS like family 10 member A
0.00256,1.04754474,ASL,argininosuccinate lyase
0.00256,-0.61344165,HNF4A,hepatocyte nuclear factor 4 alpha
0.00256,-0.69441971,COL11A2,collagen type XI alpha 2 chain
0.00257,0.94697805,F2RL1,F2R like trypsin receptor 1
0.00257,-0.67510581,F7,coagulation factor VII
0.00257,-1.01966692,ZNF510,zinc finger protein 510
0.00258,0.42479178,ILF3,interleukin enhancer binding factor 3
0.00258,-0.57747742,FETUB,fetuin B
0.00258,-0.75649294,INHA,inhibin alpha subunit
0.00259,0.363636,CHMP1A,charged multivesicular body protein 1A
0.00259,-0.90511634,CXCR1,C-X-C motif chemokine receptor 1
0.00259,-1.23965262,NEUROD1,neuronal differentiation 1
0.00259,-2.69348706,AZGP1,"alpha-2-glycoprotein 1, zinc-binding"
0.0026,1.15609211,TRIM22,tripartite motif containing 22
0.0026,0.86407266,TMEM123,transmembrane protein 123
0.0026,-0.43856513,OARD1,O-acyl-ADP-ribose deacylase 1
0.0026,-0.7865854,ITGA9,integrin subunit alpha 9
0.0026,-0.80670158,FOLH1B///FOLH1,folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1
0.0026,-0.8520397,SERPINA2,serpin family A member 2 (gene/pseudogene)
0.0026,-1.34900826,PRDM2,PR/SET domain 2
0.00261,0.98364771,TNFRSF4,TNF receptor superfamily member 4
0.00261,0.61969841,FMR1,fragile X mental retardation 1
0.00261,-0.60978761,CYP1A2,cytochrome P450 family 1 subfamily A member 2
0.00261,-0.7550032,LIPE,"lipase E, hormone sensitive type"
0.00262,-0.71682494,PROP1,PROP paired-like homeobox 1
0.00263,-1.05992909,CLDN18,claudin 18
0.00263,-1.38845505,PLCH1,phospholipase C eta 1
0.00264,2.56195504,SPRR1B,small proline rich protein 1B
0.00264,0.7361726,LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
0.00264,0.63762137,TGFB1,transforming growth factor beta 1
0.00264,0.52935475,FTSJ1,FtsJ RNA methyltransferase homolog 1 (E. coli)
0.00264,-0.54738874,RNF14,ring finger protein 14
0.00265,1.04836335,MDK,midkine (neurite growth-promoting factor 2)
0.00265,-0.54922253,SQSTM1,sequestosome 1
0.00265,-1.1982826,GYPE,glycophorin E (MNS blood group)
0.00266,-0.62385691,SPAG8,sperm associated antigen 8
0.00267,1.17566339,CA12,carbonic anhydrase 12
0.00267,0.62941568,STK24,serine/threonine kinase 24
0.00267,-0.57841206,HTR4,5-hydroxytryptamine receptor 4
0.00267,-0.66013576,PRDM2,PR/SET domain 2
0.00267,-0.72628135,WNT8B,Wnt family member 8B
0.00268,-0.48498676,WDR45,WD repeat domain 45
0.00268,-0.6769772,SULT4A1,sulfotransferase family 4A member 1
0.00268,-0.74325614,TULP3,tubby like protein 3
0.00268,-0.82592906,MOG,myelin oligodendrocyte glycoprotein
0.00268,-1.03976214,PDIA6,protein disulfide isomerase family A member 6
0.00269,0.71454469,RALY,RALY heterogeneous nuclear ribonucleoprotein
0.00269,-0.42974858,SLC35A1,solute carrier family 35 member A1
0.00269,-0.53002384,PIAS1,protein inhibitor of activated STAT 1
0.00269,-0.65202742,WEE1,WEE1 G2 checkpoint kinase
0.00269,-1.35791317,ZPBP,zona pellucida binding protein
0.0027,-0.63046487,SLC6A12,solute carrier family 6 member 12
0.0027,-0.80262317,B3GNTL1,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1"
0.00271,0.45287184,MFSD10,major facilitator superfamily domain containing 10
0.00271,-0.77283979,ATN1,atrophin 1
0.00271,-1.1229714,NAT2,N-acetyltransferase 2
0.00272,-0.42737658,JRK,Jrk helix-turn-helix protein
0.00273,0.58701049,DDX27,DEAD-box helicase 27
0.00274,1.61235279,CA12,carbonic anhydrase 12
0.00274,-0.55033779,NR2E3,nuclear receptor subfamily 2 group E member 3
0.00274,-0.60888665,KCNQ1,potassium voltage-gated channel subfamily Q member 1
0.00274,-0.94089095,APOA1,apolipoprotein A1
0.00275,-0.81646602,IGFBP5,insulin like growth factor binding protein 5
0.00276,-0.5214983,BCL7A,BCL tumor suppressor 7A
0.00276,-0.61909839,ADGRB1,adhesion G protein-coupled receptor B1
0.00276,-0.67602874,KCNQ1,potassium voltage-gated channel subfamily Q member 1
0.00276,-0.97356954,FBXO21,F-box protein 21
0.00276,-1.01786388,INS,insulin
0.00276,-1.0778892,NPY1R,neuropeptide Y receptor Y1
0.00277,0.38214506,CHUK,conserved helix-loop-helix ubiquitous kinase
0.00277,-0.64935937,CCNG2,cyclin G2
0.00277,-1.08618789,SPINK2,"serine peptidase inhibitor, Kazal type 2"
0.00278,0.66467976,TMX2-CTNND1///CTNND1,TMX2-CTNND1 readthrough (NMD candidate)///catenin delta 1
0.0028,0.65596941,AMD1,adenosylmethionine decarboxylase 1
0.0028,-0.67507707,FLOT1,flotillin 1
0.0028,-0.99949837,RHD///RHCE,Rh blood group D antigen///Rh blood group CcEe antigens
0.00281,-0.85882752,ADGRG6,adhesion G protein-coupled receptor G6
0.00281,-0.9797557,S100B,S100 calcium binding protein B
0.00282,-0.73688978,NEU3,neuraminidase 3
0.00282,-0.82197138,ARHGEF12,Rho guanine nucleotide exchange factor 12
0.00282,-0.88582353,TRPM2,transient receptor potential cation channel subfamily M member 2
0.00283,1.74918578,FN1,fibronectin 1
0.00283,0.83613861,SPAG1,sperm associated antigen 1
0.00283,-0.95953235,COL1A1,collagen type I alpha 1 chain
0.00284,0.58201158,TBCA,tubulin folding cofactor A
0.00284,-0.50145739,C21orf2,chromosome 21 open reading frame 2
0.00284,-0.57945977,GAB1,GRB2 associated binding protein 1
0.00284,-0.65573649,,
0.00286,-0.72277274,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1
0.00287,1.21950941,TFAP2C,transcription factor AP-2 gamma
0.00287,-0.68848259,,
0.00287,-0.71503926,MLANA,melan-A
0.00287,-0.93450723,NUCB2,nucleobindin 2
0.00288,1.44774018,IFI44L,interferon induced protein 44 like
0.00288,0.78164666,MAX,MYC associated factor X
0.00289,0.44562076,BRD2,bromodomain containing 2
0.00289,-0.6503868,SLC9A3R2,SLC9A3 regulator 2
0.00289,-0.66150665,PKIG,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma"
0.0029,-1.13799552,,
0.00291,-0.48070292,ADAMTSL2,ADAMTS like 2
0.00291,-0.60399251,ACVRL1,activin A receptor like type 1
0.00291,-1.07621313,FUT6,fucosyltransferase 6
0.00292,1.07281673,SLC39A7,solute carrier family 39 member 7
0.00292,0.4967858,PCGF3,polycomb group ring finger 3
0.00292,-0.56199641,DOC2A,double C2 domain alpha
0.00292,-0.90966198,SEC61A1,Sec61 translocon alpha 1 subunit
0.00293,0.97360588,CCR1,C-C motif chemokine receptor 1
0.00293,0.76116239,SEPT11,septin 11
0.00293,0.72304085,CEP170B,centrosomal protein 170B
0.00293,0.62856119,E2F4,E2F transcription factor 4
0.00293,0.61825515,MRPL49,mitochondrial ribosomal protein L49
0.00295,1.36819059,IL24,interleukin 24
0.00295,-1.18879802,SDC2,syndecan 2
0.00295,-1.33008732,TSHR,thyroid stimulating hormone receptor
0.00296,-0.54423367,MAG,myelin associated glycoprotein
0.00296,-0.56517272,FCN3,ficolin 3
0.00296,-0.90610562,,
0.00297,0.93784543,IRF5,interferon regulatory factor 5
0.00297,0.51075665,SUSD6,sushi domain containing 6
0.00297,-0.68590714,FUT7,fucosyltransferase 7
0.00297,-1.14013736,MAP3K14,mitogen-activated protein kinase kinase kinase 14
0.00297,-1.27949325,PGR,progesterone receptor
0.00298,0.83735404,CSRP2,cysteine and glycine rich protein 2
0.00298,-0.67315901,,
0.00298,-1.09765224,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
0.00299,-0.71683824,ZNF330,zinc finger protein 330
0.00299,-1.06182037,DGKG,diacylglycerol kinase gamma
0.00299,-1.07566007,PALM,paralemmin
0.003,-0.53509008,HPCA,hippocalcin
0.003,-0.5868963,INA,internexin neuronal intermediate filament protein alpha
0.003,-0.63991103,C1orf68,chromosome 1 open reading frame 68
0.003,-1.05763192,,
0.003,-1.07588905,PIN4,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
0.003,-1.09744895,APCS,"amyloid P component, serum"
0.003,-1.17448,DOCK3,dedicator of cytokinesis 3
0.003,-1.21871287,PPP2R2B,protein phosphatase 2 regulatory subunit Bbeta
0.00301,0.67918865,ST14,suppression of tumorigenicity 14
0.00301,0.56861703,PSME3,proteasome activator subunit 3
0.00302,0.54909689,NSDHL,NAD(P) dependent steroid dehydrogenase-like
0.00302,0.4381336,SNORA29///TCP1,"small nucleolar RNA, H/ACA box 29///t-complex 1"
0.00302,-0.50295832,ST3GAL2,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"
0.00302,-0.68558633,MYCLP1,MYCL pseudogene 1
0.00302,-0.71698968,HNF1A,HNF1 homeobox A
0.00304,0.65746282,RNASEH2A,ribonuclease H2 subunit A
0.00304,-0.33600612,FASTK,Fas activated serine/threonine kinase
0.00304,-0.42117458,RPL32,ribosomal protein L32
0.00305,-0.61384877,DLD,dihydrolipoamide dehydrogenase
0.00306,0.45702826,PMM2,phosphomannomutase 2
0.00306,-0.72112565,UBAC1,UBA domain containing 1
0.00306,-1.05877382,SNAP91,synaptosome associated protein 91
0.00306,-1.3900695,RUNX1T1,RUNX1 translocation partner 1
0.00307,-0.60066715,ANKRD46,ankyrin repeat domain 46
0.00307,-0.61767577,SLC9A8,solute carrier family 9 member A8
0.00307,-0.75250548,MIR6125///USP15,microRNA 6125///ubiquitin specific peptidase 15
0.00307,-0.85515267,CRP,"C-reactive protein, pentraxin-related"
0.00307,-1.00685898,DDTL///DDT,D-dopachrome tautomerase-like///D-dopachrome tautomerase
0.00308,-0.85670535,ELOVL6,ELOVL fatty acid elongase 6
0.00308,-1.05255595,CACNG3,calcium voltage-gated channel auxiliary subunit gamma 3
0.00308,-1.1727101,MIR6872///SEMA3B,microRNA 6872///semaphorin 3B
0.00309,-1.25123787,NTRK2,neurotrophic receptor tyrosine kinase 2
0.0031,-1.04714473,FGF2,fibroblast growth factor 2
0.00311,-0.80286591,RARG,retinoic acid receptor gamma
0.00311,-1.14641388,FEZ2,fasciculation and elongation protein zeta 2
0.00312,0.65626006,BIRC5,baculoviral IAP repeat containing 5
0.00312,-0.72042263,NR6A1,nuclear receptor subfamily 6 group A member 1
0.00312,-1.21171355,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4
0.00313,0.67807354,SPCS2,signal peptidase complex subunit 2
0.00313,0.51703625,HSD17B10,hydroxysteroid 17-beta dehydrogenase 10
0.00313,-0.57361577,PSEN2,presenilin 2
0.00314,-0.57339081,CRYBA4,crystallin beta A4
0.00314,-1.14348473,BMP6,bone morphogenetic protein 6
0.00315,0.54626338,RELB,"RELB proto-oncogene, NF-kB subunit"
0.00316,0.96007869,LOX,lysyl oxidase
0.00316,-0.58282328,TNFSF12-TNFSF13///TNFSF12,TNFSF12-TNFSF13 readthrough///tumor necrosis factor superfamily member 12
0.00316,-0.84140572,TNFRSF25,TNF receptor superfamily member 25
0.00316,-1.10998278,INSM1,INSM transcriptional repressor 1
0.00318,0.72293001,PYGB,"phosphorylase, glycogen; brain"
0.00318,-0.36105765,ZBED1,zinc finger BED-type containing 1
0.00318,-0.52193659,FCGR2C///FCGR2A,Fc fragment of IgG receptor IIc (gene/pseudogene)///Fc fragment of IgG receptor IIa
0.00318,-0.6327796,ADRA1A,adrenoceptor alpha 1A
0.00318,-1.35526163,PRUNE2,prune homolog 2
0.00319,0.54421462,PDLIM5,PDZ and LIM domain 5
0.00319,-0.6268626,MAP3K12,mitogen-activated protein kinase kinase kinase 12
0.00319,-0.80035185,DUSP3,dual specificity phosphatase 3
0.00319,-0.86558455,PRRX1,paired related homeobox 1
0.00319,-1.00961333,,
0.00319,-1.20911663,SP4,Sp4 transcription factor
0.0032,-0.65062218,MLH1,mutL homolog 1
0.0032,-0.94368101,FSHR,follicle stimulating hormone receptor
0.0032,-1.14471855,SCN9A,sodium voltage-gated channel alpha subunit 9
0.0032,-1.46883878,ETV1,ETS variant 1
0.00321,-1.15498826,AAK1,AP2 associated kinase 1
0.00322,-0.65962596,DOHH,deoxyhypusine hydroxylase/monooxygenase
0.00322,-0.66782907,C2orf27B///C2orf27A,chromosome 2 open reading frame 27B///chromosome 2 open reading frame 27A
0.00322,-0.70550388,TOB1,"transducer of ERBB2, 1"
0.00322,-0.722614,PMP22,peripheral myelin protein 22
0.00323,-0.38411424,RPLP1,ribosomal protein lateral stalk subunit P1
0.00323,-0.59519195,,
0.00323,-1.40843054,PDGFRA,platelet derived growth factor receptor alpha
0.00324,0.60319662,PTPRA,"protein tyrosine phosphatase, receptor type A"
0.00324,0.44520472,RAB14,"RAB14, member RAS oncogene family"
0.00324,-0.55704396,SDHD,succinate dehydrogenase complex subunit D
0.00324,-0.57239896,USP6,ubiquitin specific peptidase 6
0.00324,-0.78735923,TYR,tyrosinase
0.00324,-1.00362556,CYP19A1,cytochrome P450 family 19 subfamily A member 1
0.00324,-1.23093869,BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta
0.00324,-1.49481273,CFTR,cystic fibrosis transmembrane conductance regulator
0.00326,0.45239291,GNG5,G protein subunit gamma 5
0.00326,-0.51556972,ZFYVE16,zinc finger FYVE-type containing 16
0.00326,-1.00043025,GSTM3,glutathione S-transferase mu 3
0.00327,0.83435445,PMS2P3,"PMS1 homolog 2, mismatch repair system component pseudogene 3"
0.00327,0.68728426,DNM1L,dynamin 1 like
